"category","content","vet_id"
"liver","Con  posición en decúbito dorsal  izquierdo y derecho  se hace aproximación al hígado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Los lóbulos del lado izquierdo  conforman un tercio de la masa hepática","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","El lóbulo cuadrado es relativamente central y rodea parcialmente la vesícula biliar","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Los lóbulos izquierdos son el lateral, medial y cuadrado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Los lóbulos derechos son lateral, medial y caudado, hacia el centro tenemos el  proceso papilar","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Los cuales conforman la totalidad de la masa del hígado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","El ligamento falciforme esta en el campo cercano y se observa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Isoecoico en relación al hígado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hiperecoica en relación al hígado y presenta una gruesa ecotextura","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Hígado hiperecoico en relación a la grasa falciforme por la obesidad del gato,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Parénquima hepático normal es uniformemente hipoecoico con una ecotextura gruesa comparada con el","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","En la sección transversa del hígado los vasos aparecen como estructuras redondeadas anecoicas","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","En la sección trasversa del hígado se reconocen las ramas portales con límites hiperecoicos","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales hiperecoicas , mineralizacion , colelitiasis , grasa , mielolipoma , gas, hiperplas","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Lesiones focales hiperecoicas, presuntiva hiperplasia nodular, neoplasia primaria, absceso o granuloma                 ,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PERRO DE AGUA ESPAÑOL","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","El paciente presenta linfodenopatia periférica,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","SIAMES","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","CANICHE","da07b0a1-53a8-42db-9c7a-748415bf9734"
"reason_for_ultrasound","Ecografía abdominal por distención y/o dolor","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","No evaluable","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Con contenido intraluminal con focos ecogénicos en suspensión.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Con leve contenido anecoico","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","No se aprecian masas, ni urolitos, ni estructuras vegetativas","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","En lóbulo lateral izquierdo presenta","da07b0a1-53a8-42db-9c7a-748415bf9734"
